"filename", "language", "TypeScript", "HTML", "JSON", "Groovy", "Batch", "CSS", "MS SQL", "TypeScript JSX", "Markdown", "XML", "Properties", "Java", "Ignore", "Rust", "JSON with Comments", "Python", "comment", "blank", "total"
"/home/admins/projects/pessoa/backend/src/services/claude_session_monitor.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -1, -11, -71
"/home/admins/projects/pessoa/backend/src/services/claude_session_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -339, 0, 0, -32, -49, -420
"/home/admins/projects/pessoa/backend/src/services/json_to_db_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -321, 0, 0, -31, -36, -388
"/home/admins/projects/pessoa/backend/src/services/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -17, -2, -31
"/home/admins/projects/pessoa/backend/src/services/persistence_event.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -1, -11
"/home/admins/projects/pessoa/backend/src/services/prompt.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -214, 0, 0, 0, 0, 0, 0, 0, 0, -34, -248
"/home/admins/projects/pessoa/backend/src/services/snapshotting_service_v2.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, 0, 0, -5, -17, -93
"/home/admins/projects/pessoa/backend/src/services/thumbnail.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -204, 0, 0, -21, -25, -250
"/home/admins/projects/pessoa/backend/src/utils/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -7, -2, -10
"/home/admins/projects/pessoa/backend/src/utils/test_yjs.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -3, -1, -7
"/home/admins/projects/pessoa/backend/test_multipage.json", "JSON", 0, 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -109
"/home/admins/projects/pessoa/backend/verify_insert.sql", "MS SQL", 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"/home/admins/projects/pessoa/frontend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/home/admins/projects/pessoa/frontend/.lintstagedrc.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/admins/projects/pessoa/frontend/android/app/build.gradle", "Groovy", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 94
"/home/admins/projects/pessoa/frontend/android/app/capacitor.build.gradle", "Groovy", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
