"filename", "language", "JSON", "JavaScript", "YAML", "Markdown", "Python", "Rust", "TypeScript", "Batch", "HTML", "Groovy", "CSS", "Properties", "TypeScript JSX", "XML", "MS SQL", "Ignore", "Java", "comment", "blank", "total"
"/home/admins/projects/pessoa/.claude/agents/pdf-script-parser.md", "Markdown", 0, 0, 0, -244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -55, -299
"/home/admins/projects/pessoa/.claude/agents/playwright-tester.md", "Markdown", 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -65
"/home/admins/projects/pessoa/.claude/agents/scriptparser.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/admins/projects/pessoa/.claude/agents/work-completion-summary.md", "Markdown", 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -45
"/home/admins/projects/pessoa/.claude/commands/all_tools.md", "Markdown", 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"/home/admins/projects/pessoa/.claude/commands/cook.md", "Markdown", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/home/admins/projects/pessoa/.claude/commands/cook_research_only.md", "Markdown", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/home/admins/projects/pessoa/.claude/commands/doctor.md", "Markdown", 0, 0, 0, -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -113
"/home/admins/projects/pessoa/.claude/commands/git_status.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"/home/admins/projects/pessoa/.claude/commands/prime.md", "Markdown", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"/home/admins/projects/pessoa/.claude/commands/prime_tts.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -23
"/home/admins/projects/pessoa/.claude/commands/sentient.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -19
"/home/admins/projects/pessoa/.claude/hooks/notification.py", "Python", 0, 0, 0, 0, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -25, -133
"/home/admins/projects/pessoa/.claude/hooks/post_response_complete.py", "Python", 0, 0, 0, 0, -115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -29, -169
"/home/admins/projects/pessoa/.claude/hooks/post_tool_use.py", "Python", 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -9, -48
"/home/admins/projects/pessoa/.claude/hooks/pre_compact.py", "Python", 0, 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -26, -126
"/home/admins/projects/pessoa/.claude/hooks/pre_tool_use.py", "Python", 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -23, -139
"/home/admins/projects/pessoa/.claude/hooks/session_start.py", "Python", 0, 0, 0, 0, -148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -35, -213
"/home/admins/projects/pessoa/.claude/hooks/stop.py", "Python", 0, 0, 0, 0, -147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -36, -215
"/home/admins/projects/pessoa/.claude/hooks/subagent_stop.py", "Python", 0, 0, 0, 0, -96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, -28, -152
"/home/admins/projects/pessoa/.claude/hooks/user_prompt_submit.py", "Python", 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -23, -112
"/home/admins/projects/pessoa/.claude/hooks/utils/llm/anth.py", "Python", 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -27, -115
"/home/admins/projects/pessoa/.claude/hooks/utils/llm/oai.py", "Python", 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -27, -115
"/home/admins/projects/pessoa/.claude/hooks/utils/tts/elevenlabs_tts.py", "Python", 0, 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -18, -89
"/home/admins/projects/pessoa/.claude/hooks/utils/tts/openai_tts.py", "Python", 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -20, -94
"/home/admins/projects/pessoa/.claude/hooks/utils/tts/pyttsx3_tts.py", "Python", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -15, -75
"/home/admins/projects/pessoa/.github/workflows/deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -1, -21
"/home/admins/projects/pessoa/CLAUDE.md", "Markdown", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"/home/admins/projects/pessoa/doc/frontendrefactor.md", "Markdown", 0, 0, 0, -298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -73, -371
"/home/admins/projects/pessoa/doc/phase1-completion-summary.md", "Markdown", 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -104
"/home/admins/projects/pessoa/doc/phase2-completion-summary.md", "Markdown", 0, 0, 0, -152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -42, -194
"/home/admins/projects/pessoa/doc/phase2-progress.md", "Markdown", 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -113
"/home/admins/projects/pessoa/doc/phase3-progress.md", "Markdown", 0, 0, 0, -168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -43, -211
"/home/admins/projects/pessoa/doc/phase4-progress.md", "Markdown", 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -108
"/home/admins/projects/pessoa/docs/3d-tilt-effect-feature.md", "Markdown", 0, 0, 0, -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -112
"/home/admins/projects/pessoa/frontend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, -14
"/home/admins/projects/pessoa/frontend/.lintstagedrc.json", "JSON", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"/home/admins/projects/pessoa/frontend/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, 0, 0, 0, 0, 0, 0, 0, -5, -10, -94
"/home/admins/projects/pessoa/frontend/android/app/capacitor.build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -1, -7, -20
"/home/admins/projects/pessoa/frontend/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, -1, -4, -38
"/home/admins/projects/pessoa/frontend/android/app/src/main/java/com/romankuskowski/theatereditor/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -2, -3, -19
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, -1, -35
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -170, 0, 0, 0, 0, -1, -171
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/layout/activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -2, -13
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -9
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -9
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/values/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -1, -8
"/home/admins/projects/pessoa/frontend/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, -2, -4, -22
